Club Name,Player Name,Position,Salary,FootyStats Link
Manchester City,Erling Haaland,Forward - Centre Forward,"€52,153,200",https://footystats.org/players/norway/erling-haaland
Manchester City,Julián Álvarez,Forward - Centre Forward,"€2,980,419",https://footystats.org/players/argentina/julian-alvarez
Manchester City,Riyad Mahrez,Forward - Right Wing,"€9,554,349",https://footystats.org/players/algeria/riyad-mahrez
Manchester City,Kevin De Bruyne,Midfielder - Attacking Midfield,"€17,680,000",https://footystats.org/players/belgium/kevin-de-bruyne
Manchester City,Jack Grealish,Midfielder - Left Wing,"€17,901,221",https://footystats.org/players/england/jack-grealish
Manchester City,Sergio Gómez,Midfielder - Left Back,"€2,261,382",https://footystats.org/players/spain/sergio-gomez
Manchester City,Cole Palmer,Midfielder - Attacking Midfield,"€1,191,928",https://footystats.org/players/england/cole-palmer
Manchester City,Phil Foden,Midfielder - Left Wing,"€13,439,053",https://footystats.org/players/england/phil-foden
Manchester City,Bernardo Silva,Midfielder - Attacking Midfield,"€8,942,164",https://footystats.org/players/portugal/bernardo-silva
Manchester City,Rodri,Midfielder - Defensive Midfield,"€9,545,993",https://footystats.org/players/spain/rodri
Manchester City,İlkay Gündoğan,Midfielder - Central Midfield,"€8,349,366",https://footystats.org/players/germany/ilkay-gundogan
Manchester City,Nathan Aké,Defender - Centre Back,"€5,375,106",https://footystats.org/players/netherlands/nathan-ake
Manchester City,Rúben Dias,Defender - Centre Back,"€10,727,630",https://footystats.org/players/portugal/ruben-dias
Manchester City,Aymeric Laporte,Defender - Centre Back,"€6,240,000",https://footystats.org/players/spain/aymeric-laporte
Manchester City,John Stones,Defender - Centre Back,"€11,933,012",https://footystats.org/players/england/john-stones
Manchester City,Rico Lewis,Defender,"€160,593",https://footystats.org/players/england/rico-lewis
Manchester City,Manuel Akanji,Defender - Centre Back,"€10,727,630",https://footystats.org/players/switzerland/manuel-akanji
Manchester City,Kyle Walker,Defender - Right Back,"€9,555,395",https://footystats.org/players/england/kyle-walker
Manchester City,Ederson,Goalkeeper - Goalkeeper,"€3,874,612",https://footystats.org/players/brazil/ederson
Arsenal,Gabriel Martinelli,Forward - Left Wing,"€7,726,299",https://footystats.org/players/brazil/gabriel-martinelli
Arsenal,Gabriel Jesus,Forward - Centre Forward,"€15,798,202",https://footystats.org/players/brazil/gabriel-jesus
Arsenal,Edward Nketiah,Forward - Centre Forward,"€2,686,425",https://footystats.org/players/england/edward-nketiah
Arsenal,Leandro Trossard,Forward - Left Wing,"€2,532,660",https://footystats.org/players/belgium/leandro-trossard
Arsenal,Fábio Vieira,Midfielder - Attacking Midfield,"€1,200,000",https://footystats.org/players/portugal/fabio-vieira
Arsenal,Bukayo Saka,Midfielder - Right Wing,"€1,789,954",https://footystats.org/players/england/bukayo-saka
Arsenal,Granit Xhaka,Midfielder - Central Midfield,"€5,964,062",https://footystats.org/players/switzerland/granit-xhaka
Arsenal,Martin Ødegaard,Midfielder - Attacking Midfield,"€6,867,558",https://footystats.org/players/norway/martin-odegaard
Arsenal,Oleksandr Zinchenko,Midfielder - Left Back,"€8,960,381",https://footystats.org/players/ukraine/oleksandr-zinchenko
Arsenal,Jorginho,Midfielder - Defensive Midfield,"€6,569,992",https://footystats.org/players/italy/jorginho
Arsenal,Thomas Partey,Midfielder - Defensive Midfield,"€11,922,194",https://footystats.org/players/ghana/thomas-partey
Arsenal,Mohamed Elneny,Midfielder - Defensive Midfield,"€2,979,942",https://footystats.org/players/egypt/mohamed-elneny
Arsenal,William Saliba,Defender - Centre Back,"€2,383,264",https://footystats.org/players/france/william-saliba
Arsenal,Ben White,Defender - Right Back,"€6,240,000",https://footystats.org/players/england/ben-white
Arsenal,Gabriel Magalhães,Defender - Centre Back,"€2,980,822",https://footystats.org/players/brazil/gabriel-magalhaes
Arsenal,Takehiro Tomiyasu,Defender - Right Back,"€3,278,782",https://footystats.org/players/japan/takehiro-tomiyasu
Arsenal,Rob Holding,Defender - Centre Back,"€2,268,470",https://footystats.org/players/england/rob-holding
Arsenal,Aaron Ramsdale,Goalkeeper - Goalkeeper,"€3,584,072",https://footystats.org/players/england/aaron-ramsdale
Manchester United,Anthony Martial,Forward - Centre Forward,"€14,930,278",https://footystats.org/players/france/anthony-martial
Manchester United,Marcus Rashford,Forward - Left Wing,"€11,946,012",https://footystats.org/players/england/marcus-rashford
Manchester United,Alejandro Garnacho,Forward - Left Wing,"€89,418",https://footystats.org/players/argentina/alejandro-garnacho
Manchester United,Jadon Sancho,Forward - Left Wing,"€20,859,601",https://footystats.org/players/england/jadon-sancho
Manchester United,Antony,Forward - Right Wing,"€8,941,054",https://footystats.org/players/brazil/antony
Manchester United,Christian Eriksen,Midfielder - Central Midfield,"€10,115,389",https://footystats.org/players/denmark/christian-eriksen
Manchester United,Bruno Fernandes,Midfielder - Attacking Midfield,"€14,310,009",https://footystats.org/players/portugal/bruno-fernandes
Manchester United,Fred,Midfielder - Central Midfield,"€7,158,372",https://footystats.org/players/brazil/fred
Manchester United,Casemiro,Midfielder - Defensive Midfield,"€17,849,832",https://footystats.org/players/brazil/casemiro
Manchester United,Scott McTominay,Midfielder - Defensive Midfield,"€3,120,000",https://footystats.org/players/scotland/scott-mctominay
Manchester United,Donny van de Beek,Midfielder - Central Midfield,"€8,350,170",https://footystats.org/players/netherlands/donny-van-de-beek
Manchester United,Aaron Wan-Bissaka,Defender - Right Back,"€5,378,745",https://footystats.org/players/england/aaron-wan-bissaka
Manchester United,Harry Maguire,Defender - Centre Back,"€11,349,995",https://footystats.org/players/england/harry-maguire
Manchester United,Tyrell Malacia,Defender - Left Back,"€4,472,358",https://footystats.org/players/netherlands/tyrell-malacia
Manchester United,Raphaël Varane,Defender - Centre Back,"€11,600,000",https://footystats.org/players/france/raphael-varane
Manchester United,Luke Shaw,Defender - Left Back,"€8,957,271",https://footystats.org/players/england/luke-shaw
Manchester United,Lisandro Martínez,Defender - Centre Back,"€6,240,000",https://footystats.org/players/argentina/lisandro-martinez
Manchester United,Diogo Dalot,Defender - Right Back,"€1,490,320",https://footystats.org/players/portugal/diogo-dalot
Manchester United,David de Gea,Goalkeeper - Goalkeeper,"€22,358,782",https://footystats.org/players/spain/david-de-gea
Newcastle United,Callum Wilson,Forward - Centre Forward,"€5,473,935",https://footystats.org/players/england/callum-wilson
Newcastle United,Anthony Gordon,Forward - Left Wing,"€596,916",https://footystats.org/players/england/anthony-gordon
Newcastle United,Joelinton,Forward - Attacking Midfield,"€4,160,000",https://footystats.org/players/brazil/joelinton
Newcastle United,Allan Saint-Maximin,Forward - Left Wing,"€5,546,607",https://footystats.org/players/france/allan-saint-maximin
Newcastle United,Elliot Anderson,Midfielder - Attacking Midfield,"€715,953",https://footystats.org/players/scotland/elliot-anderson
Newcastle United,Joseph Willock,Midfielder - Central Midfield,"€1,193,622",https://footystats.org/players/england/joseph-willock
Newcastle United,Bruno Guimarães,Midfielder - Defensive Midfield,"€6,434,190",https://footystats.org/players/brazil/bruno-guimaraes
Newcastle United,Sean Longstaff,Midfielder - Central Midfield,"€1,670,548",https://footystats.org/players/england/sean-longstaff
Newcastle United,Jacob Murphy,Midfielder - Right Wing,"€1,820,000",https://footystats.org/players/england/jacob-murphy
Newcastle United,Miguel Almirón,Midfielder - Right Wing,"€2,523,105",https://footystats.org/players/paraguay/miguel-almiron
Newcastle United,Matt Targett,Defender - Left Back,"€5,971,413",https://footystats.org/players/england/matt-targett
Newcastle United,Fabian Schär,Defender - Centre Back,"€2,384,512",https://footystats.org/players/switzerland/fabian-schar
Newcastle United,Kieran Trippier,Defender - Right Back,"€5,973,283",https://footystats.org/players/england/kieran-trippier
Newcastle United,Dan Burn,Defender - Centre Back,"€3,101,258",https://footystats.org/players/england/dan-burn
Newcastle United,Sven Botman,Defender - Centre Back,"€5,245,679",https://footystats.org/players/netherlands/sven-botman
Newcastle United,Nick Pope,Goalkeeper - Goalkeeper,"€5,200,000",https://footystats.org/players/england/nick-pope
Liverpool,Roberto Firmino,Forward - Centre Forward,"€10,729,535",https://footystats.org/players/brazil/roberto-firmino
Liverpool,Diogo Jota,Forward - Left Wing,"€8,358,406",https://footystats.org/players/portugal/diogo-jota
Liverpool,Mohamed Salah,Forward - Right Wing,"€20,864,480",https://footystats.org/players/egypt/mohamed-salah
Liverpool,Darwin Núñez,Forward - Centre Forward,"€1,836,584",https://footystats.org/players/uruguay/darwin-nunez
Liverpool,Luis Díaz,Forward - Left Wing,"€2,860,000",https://footystats.org/players/colombia/luis-diaz
Liverpool,Harvey Elliott,Midfielder - Attacking Midfield,"€2,737,504",https://footystats.org/players/england/harvey-elliott
Liverpool,James Milner,Midfielder - Central Midfield,"€7,153,192",https://footystats.org/players/england/james-milner
Liverpool,Jordan Henderson,Midfielder - Central Midfield,"€8,365,543",https://footystats.org/players/england/jordan-henderson
Liverpool,Thiago Alcantara,Midfielder - Assistant Coach,"€13,424,053",https://footystats.org/players/spain/thiago-alcantara
Liverpool,Fabio Carvalho,Midfielder - Attacking Midfield,"€1,837,128",https://footystats.org/players/portugal/fabio-carvalho
Liverpool,Joe Gomez,Defender - Centre Back,"€4,420,000",https://footystats.org/players/england/joe-gomez
Liverpool,Virgil van Dijk,Defender - Centre Back,"€14,251,630",https://footystats.org/players/netherlands/virgil-van-dijk
Liverpool,Andrew Robertson,Defender - Left Back,"€9,520,121",https://footystats.org/players/scotland/andrew-robertson
Liverpool,Konstantinos Tsimikas,Defender - Left Back,"€2,980,757",https://footystats.org/players/greece/konstantinos-tsimikas
Liverpool,Trent Alexander-Arnold,Defender - Right Back,"€10,754,569",https://footystats.org/players/england/trent-alexander-arnold
Liverpool,Joel Matip,Defender - Centre Back,"€5,960,214",https://footystats.org/players/cameroon/joel-matip
Liverpool,Alisson Becker,Goalkeeper - Goalkeeper,"€11,305,387",https://footystats.org/players/brazil/alisson-becker
Brighton & Hove Albion,Deniz Undav,Forward - Centre Forward,"€1,428,024",https://footystats.org/players/germany/deniz-undav
Brighton & Hove Albion,Danny Welbeck,Forward - Centre Forward,"€3,284,424",https://footystats.org/players/england/danny-welbeck
Brighton & Hove Albion,Enock Mwepu,Midfielder,"€1,600,000",https://footystats.org/players/zambia/enock-mwepu
Brighton & Hove Albion,Solly March,Midfielder - Right Wing,"€2,446,459",https://footystats.org/players/england/solly-march
Brighton & Hove Albion,Pascal Groß,Midfielder - Central Midfield,"€3,332,245",https://footystats.org/players/germany/pascal-gross
Brighton & Hove Albion,Kaoru Mitoma,Midfielder - Left Wing,"€1,191,647",https://footystats.org/players/japan/kaoru-mitoma
Brighton & Hove Albion,Billy Gilmour,Midfielder - Central Midfield,"€2,268,430",https://footystats.org/players/scotland/billy-gilmour
Brighton & Hove Albion,Adam Lallana,Midfielder - Attacking Midfield,"€4,700,000",https://footystats.org/players/england/adam-lallana
Brighton & Hove Albion,Alexis Mac Allister,Midfielder - Central Midfield,"€1,600,000",https://footystats.org/players/argentina/alexis-mac-allister
Brighton & Hove Albion,Moisés Caicedo,Midfielder - Defensive Midfield,"€208,638",https://footystats.org/players/ecuador/moises-caicedo
Brighton & Hove Albion,Joël Veltman,Defender - Right Back,"€2,982,223",https://footystats.org/players/netherlands/joel-veltman
Brighton & Hove Albion,Adam Webster,Defender - Centre Back,"€2,268,477",https://footystats.org/players/england/adam-webster
Brighton & Hove Albion,Tariq Lamptey,Defender - Right Back,"€2,088,914",https://footystats.org/players/ghana/tariq-lamptey
Brighton & Hove Albion,Lewis Dunk,Defender - Centre Back,"€2,686,751",https://footystats.org/players/england/lewis-dunk
Brighton & Hove Albion,Levi Colwill,Defender - Centre Back,"€894,199",https://footystats.org/players/england/levi-colwill
Brighton & Hove Albion,Pervis Estupiñán,Defender - Left Back,"€1,134,443",https://footystats.org/players/ecuador/pervis-estupinan
Brighton & Hove Albion,Robert Sánchez,Goalkeeper - Goalkeeper,"€1,196,000",https://footystats.org/players/spain/robert-sanchez
Aston Villa,Ollie Watkins,Forward,"€3,900,000",https://footystats.org/players/england/ollie-watkins
Aston Villa,Leon Bailey,Forward,"€3,899,511",https://footystats.org/players/jamaica/leon-bailey
Aston Villa,Jacob Ramsey,Midfielder,"€4,181,245",https://footystats.org/players/england/jacob-ramsey
Aston Villa,Douglas Luiz,Midfielder,"€3,093,943",https://footystats.org/players/brazil/douglas-luiz
Aston Villa,John McGinn,Midfielder - Central Midfield,"€3,278,317",https://footystats.org/players/scotland/john-mcginn
Aston Villa,Emi Buendía,Midfielder - Right Wing,"€4,478,818",https://footystats.org/players/argentina/emi-buendia
Aston Villa,Boubacar Kamara,Midfielder,"€8,942,466",https://footystats.org/players/france/boubacar-kamara
Aston Villa,Philippe Coutinho,Midfielder,"€8,580,000",https://footystats.org/players/brazil/philippe-coutinho
Aston Villa,Tyrone Mings,Defender,"€4,779,654",https://footystats.org/players/england/tyrone-mings
Aston Villa,Calum Chambers,Defender,"€2,986,503",https://footystats.org/players/england/calum-chambers
Aston Villa,Ezri Konsa,Defender,"€477,511",https://footystats.org/players/england/ezri-konsa
Aston Villa,Ashley Young,Defender,"€2,986,030",https://footystats.org/players/england/ashley-young
Aston Villa,Leander Dendoncker,Defender,"€4,471,619",https://footystats.org/players/belgium/leander-dendoncker
Aston Villa,Diego Carlos,Defender,"€5,961,514",https://footystats.org/players/brazil/diego-carlos
Aston Villa,Matty Cash,Defender - Right Back,"€3,882,584",https://footystats.org/players/poland/matty-cash
Aston Villa,Lucas Digne,Defender,"€8,320,000",https://footystats.org/players/france/lucas-digne
Aston Villa,Jan Bednarek,Defender - Centre Back,"€3,120,000",https://footystats.org/players/poland/jan-bednarek
Aston Villa,Emiliano Martínez,Goalkeeper - Goalkeeper,"€5,200,000",https://footystats.org/players/argentina/emiliano-martinez
Tottenham Hotspur,Harry Kane,Forward - Centre Forward,"€11,944,036",https://footystats.org/players/england/harry-kane
Tottenham Hotspur,Heung-Min Son,Forward - Left Wing,"€11,425,489",https://footystats.org/players/south-korea/heung-min-son
Tottenham Hotspur,Richarlison,Forward - Centre Forward,"€5,362,354",https://footystats.org/players/brazil/richarlison
Tottenham Hotspur,Ivan Perišić,Midfielder - Left Midfield,"€10,738,237",https://footystats.org/players/croatia/ivan-perisic
Tottenham Hotspur,Dejan Kulusevski,Midfielder - Right Wing,"€7,916,706",https://footystats.org/players/sweden/dejan-kulusevski
Tottenham Hotspur,Pierre-Emile Højbjerg,Midfielder - Central Midfield,"€5,964,062",https://footystats.org/players/denmark/pierre-emile-hojbjerg
Tottenham Hotspur,Rodrigo Bentancur,Midfielder - Central Midfield,"€5,502,936",https://footystats.org/players/uruguay/rodrigo-bentancur
Tottenham Hotspur,Ryan Sessegnon,Midfielder - Left Midfield,"€3,500,000",https://footystats.org/players/england/ryan-sessegnon
Tottenham Hotspur,Yves Bissouma,Midfielder - Central Midfield,"€4,472,000",https://footystats.org/players/mali/yves-bissouma
Tottenham Hotspur,Oliver Skipp,Midfielder - Defensive Midfield,"€2,923,927",https://footystats.org/players/england/oliver-skipp
Tottenham Hotspur,Matt Doherty,Defender - Right Back,"€3,902,809",https://footystats.org/players/republic-of-ireland/matt-doherty
Tottenham Hotspur,Ben Davies,Defender - Left Back,"€4,778,329",https://footystats.org/players/wales/ben-davies
Tottenham Hotspur,Emerson Royal,Defender - Right Back,"€3,696,030",https://footystats.org/players/brazil/emerson-royal
Tottenham Hotspur,Cristian Romero,Defender - Centre Back,"€9,833,566",https://footystats.org/players/argentina/cristian-romero
Tottenham Hotspur,Clément Lenglet,Defender - Centre Back,"€7,540,000",https://footystats.org/players/france/clement-lenglet
Tottenham Hotspur,Eric Dier,Defender - Centre Back,"€5,076,215",https://footystats.org/players/england/eric-dier
Tottenham Hotspur,Davinson Sánchez,Defender - Centre Back,"€3,878,579",https://footystats.org/players/colombia/davinson-sanchez
Tottenham Hotspur,Hugo Lloris,Goalkeeper - Goalkeeper,"€5,972,018",https://footystats.org/players/france/hugo-lloris
Brentford,Ivan Toney,Forward - Centre Forward,"€1,262,091",https://footystats.org/players/england/ivan-toney
Brentford,Yoane Wissa,Forward - Left Wing,"€1,429,639",https://footystats.org/players/congo-dr/yoane-wissa
Brentford,Keane Lewis-Potter,Forward - Left Wing,"€2,057,393",https://footystats.org/players/england/keane-lewis-potter
Brentford,Saman Ghoddos,Forward - Attacking Midfield,"€893,985",https://footystats.org/players/iran/saman-ghoddos
Brentford,Frank Onyeka,Midfielder - Central Midfield,"€1,667,078",https://footystats.org/players/nigeria/frank-onyeka
Brentford,Mathias Jensen,Midfielder - Central Midfield,"€1,192,978",https://footystats.org/players/denmark/mathias-jensen
Brentford,Christian Nørgaard,Midfielder - Defensive Midfield,"€1,132,444",https://footystats.org/players/denmark/christian-norgaard
Brentford,Shandon Baptiste,Midfielder - Central Midfield,"€453,717",https://footystats.org/players/grenada/shandon-baptiste
Brentford,Josh Dasilva,Midfielder - Central Midfield,"€244,763",https://footystats.org/players/england/josh-dasilva
Brentford,Vitaly Janelt,Midfielder - Defensive Midfield,"€1,924,000",https://footystats.org/players/germany/vitaly-janelt
Brentford,Mikkel Damsgaard,Midfielder - Left Wing,"€2,548,000",https://footystats.org/players/denmark/mikkel-damsgaard
Brentford,Mads Roerslev,Defender - Right Back,"€298,064",https://footystats.org/players/denmark/mads-roerslev
Brentford,Ben Mee,Defender - Centre Back,"€2,860,000",https://footystats.org/players/england/ben-mee
Brentford,Ethan Pinnock,Defender,"€780,000",https://footystats.org/players/jamaica/ethan-pinnock
Brentford,Rico Henry,Defender - Left Back,"€2,261,611",https://footystats.org/players/england/rico-henry
Brentford,Mathias Jørgensen,Defender - Centre Back,"€2,266,857",https://footystats.org/players/denmark/mathias-jorgensen
Brentford,Pontus Jansson,Defender - Centre Back,"€1,432,613",https://footystats.org/players/sweden/pontus-jansson
Brentford,Kristoffer Ajer,Defender,"€2,063,929",https://footystats.org/players/norway/kristoffer-ajer
Brentford,David Raya,Goalkeeper - Goalkeeper,"€1,492,707",https://footystats.org/players/spain/david-raya
Fulham,Aleksandar Mitrović,Forward - Centre Forward,"€3,583,914",https://footystats.org/players/serbia/aleksandar-mitrovic
Fulham,Carlos Vinícius,Forward - Centre Forward,"€4,930,028",https://footystats.org/players/brazil/carlos-vinicius
Fulham,Daniel James,Forward - Right Wing,"€3,105,409",https://footystats.org/players/wales/daniel-james
Fulham,Willian,Forward - Left Wing,"€1,728,688",https://footystats.org/players/brazil/willian
Fulham,Bobby Reid,Forward - Attacking Midfield,"€2,238,959",https://footystats.org/players/jamaica/bobby-reid
Fulham,Neeskens Kebano,Midfielder - Left Wing,"€1,850,458",https://footystats.org/players/congo-dr/neeskens-kebano
Fulham,Harry Wilson,Midfielder - Right Wing,"€2,439,690",https://footystats.org/players/wales/harry-wilson
Fulham,Andreas Pereira,Midfielder - Attacking Midfield,"€2,384,406",https://footystats.org/players/brazil/andreas-pereira
Fulham,Harrison Reed,Midfielder - Central Midfield,"€712,194",https://footystats.org/players/england/harrison-reed
Fulham,João Palhinha,Midfielder - Defensive Midfield,"€2,140,000",https://footystats.org/players/portugal/joao-palhinha
Fulham,Manor Solomon,Midfielder - Left Wing,"€1,368,660",https://footystats.org/players/israel/manor-solomon
Fulham,Tom Cairney,Midfielder - Central Midfield,"€2,387,640",https://footystats.org/players/scotland/tom-cairney
Fulham,Josh Onomah,Midfielder - Central Midfield,"€293,913",https://footystats.org/players/england/josh-onomah
